file_name,file_id,sentence_text,church_father_id,church_father_name,footnote_text,citation_parsed,detection_source,reference_type,patristic_work,patristic_text,confidence,notes
10454.xml,file10454,"Neque in hoc discordiarum finisNach finis fügen E2-3 fuit ein.: Post EunomiumEunomius, gest. um 395, war ein Hauptführer der arianischen Partei. - Lit.: Max Rauer, in: RGG II 732f. negantem spiritui sancto quicquam cum patre et filio esse commune PelagiusRandbemerkung: Pelagius.Pelagius, gest. nach 418, ein Brite oder Ire, lange als Lehrer und Asket in Rom, 410 in Karthago, dann in Palästina wirkend, leugnete die Erbsünde und hielt das Evangelium für eine Verschärfung des Gesetzes: Der Mensch könne es, wenn er recht wolle, erfüllen; denn durch Gottes Gnade habe er die Fähigkeit erhalten, Gutes zu tun. Weil der menschliche Willensentscheid Christi Erlösungstat und die Gnade unwichtig machte, bekämpften ihn Augustin und Hieronymus (pelagianischer Streit). Die Reformatoren sahen in Pelagius einen Vertreter der Werkgerechtigkeit. - Lit.: Rudolf Lorenz, in: RGG V 206f; Bernhard Lohse, in: Evangelisches Kirchenlexikon, hg. v. Heinz Brunotte und Otto Weber, Bd. 3, Göttingen 1959, Sp. 104-107. ille Britto, quiIn E2-3 ist qui weggelassen. AugustinoAurelius Augustin, 354-430, der bedeutendste Kirchenvater des Westens. - Lit.: Alfred Schindler, in: TRE IV 646-698; Ulrich Bubenheimer, Augustinismus in der Reformationszeit, in: TRE IV 718-721; zu Augustins Einfluß auf Bullinger s. u. a. HBBW I [Nr. 15] 98, Anm. 96. iam seni tantum negotii peperit, itidem e suo latibulo emergens asserebatVor asserebat fügen E2-3 ein: ut ne cum Donatistis quidem pugnarit animosus; und nachher noch: autem Pelagius. hominem posse, modo vellet, sine peccato esse et ex sous meritis absque gratia salutem assequi.",p18700,Augustinus von Hippo,,,TEI,,,,,
10454.xml,file10454,"Neque in hoc discordiarum finisNach finis fügen E2-3 fuit ein.: Post EunomiumEunomius, gest. um 395, war ein Hauptführer der arianischen Partei. - Lit.: Max Rauer, in: RGG II 732f. negantem spiritui sancto quicquam cum patre et filio esse commune PelagiusRandbemerkung: Pelagius.Pelagius, gest. nach 418, ein Brite oder Ire, lange als Lehrer und Asket in Rom, 410 in Karthago, dann in Palästina wirkend, leugnete die Erbsünde und hielt das Evangelium für eine Verschärfung des Gesetzes: Der Mensch könne es, wenn er recht wolle, erfüllen; denn durch Gottes Gnade habe er die Fähigkeit erhalten, Gutes zu tun. Weil der menschliche Willensentscheid Christi Erlösungstat und die Gnade unwichtig machte, bekämpften ihn Augustin und Hieronymus (pelagianischer Streit). Die Reformatoren sahen in Pelagius einen Vertreter der Werkgerechtigkeit. - Lit.: Rudolf Lorenz, in: RGG V 206f; Bernhard Lohse, in: Evangelisches Kirchenlexikon, hg. v. Heinz Brunotte und Otto Weber, Bd. 3, Göttingen 1959, Sp. 104-107. ille Britto, quiIn E2-3 ist qui weggelassen. AugustinoAurelius Augustin, 354-430, der bedeutendste Kirchenvater des Westens. - Lit.: Alfred Schindler, in: TRE IV 646-698; Ulrich Bubenheimer, Augustinismus in der Reformationszeit, in: TRE IV 718-721; zu Augustins Einfluß auf Bullinger s. u. a. HBBW I [Nr. 15] 98, Anm. 96. iam seni tantum negotii peperit, itidem e suo latibulo emergens asserebatVor asserebat fügen E2-3 ein: ut ne cum Donatistis quidem pugnarit animosus; und nachher noch: autem Pelagius. hominem posse, modo vellet, sine peccato esse et ex sous meritis absque gratia salutem assequi.",p18700,Augustinus von Hippo,,,TEI,,,,,
10454.xml,file10454,"Cuius errorem ex PythagoraPythagoras von Samos, gest. 497 v. Chr. [?], legendärer Begründer des ethisch-religiös-politischen Bundes der Pythagoreer in Süditalien, welcher bis um 320 v. Chr. bestand. - Lit.: Günther Patzig, in: RGG II 1870f. V 726f; vgl. auch: Heinrich Dörrie, Artikel Neuphythagoreer, in: RGG IV 1432f; Kurt von Fritz, in: Pauly/Wissowa XXIV 172-209; ders., Heinrich Dörrie und B[artel] L[eendert] van der Waerden, Artikel Pythagoreer, in: Pauly/Wissowa XXIV 209-300. et principe Stoicorum ZenoneNach Zenone fügen V und E2-3 Citiaeo ein.Zenon von Kition, gest. 262/I v. Chr., erster Scholarch der Stoa. - Lit.: Kurt von Fritz, in: Pauly/Wissowa, 2. Reihe, X 83-121. manasse contra Pelagianos scribens divus Hierony-musHieronymus, 340/50-420, Kirchenvater, Bibelübersetzer und - exeget. - Lit.: Ursula Treu, in: RGG III 315f. testaturHiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161)..",p18986,Sophronius Eusebius Hieronymus,"Hiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161).","Hiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161).",TEI,,,,,
10454.xml,file10454,"Cuius errorem ex PythagoraPythagoras von Samos, gest. 497 v. Chr. [?], legendärer Begründer des ethisch-religiös-politischen Bundes der Pythagoreer in Süditalien, welcher bis um 320 v. Chr. bestand. - Lit.: Günther Patzig, in: RGG II 1870f. V 726f; vgl. auch: Heinrich Dörrie, Artikel Neuphythagoreer, in: RGG IV 1432f; Kurt von Fritz, in: Pauly/Wissowa XXIV 172-209; ders., Heinrich Dörrie und B[artel] L[eendert] van der Waerden, Artikel Pythagoreer, in: Pauly/Wissowa XXIV 209-300. et principe Stoicorum ZenoneNach Zenone fügen V und E2-3 Citiaeo ein.Zenon von Kition, gest. 262/I v. Chr., erster Scholarch der Stoa. - Lit.: Kurt von Fritz, in: Pauly/Wissowa, 2. Reihe, X 83-121. manasse contra Pelagianos scribens divus Hierony-musHieronymus, 340/50-420, Kirchenvater, Bibelübersetzer und - exeget. - Lit.: Ursula Treu, in: RGG III 315f. testaturHiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161)..",p18986,Sophronius Eusebius Hieronymus,"Hiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161).","Hiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161).",TEI,,,,,
10454.xml,file10454,"Cuius errorem ex PythagoraPythagoras von Samos, gest. 497 v. Chr. [?], legendärer Begründer des ethisch-religiös-politischen Bundes der Pythagoreer in Süditalien, welcher bis um 320 v. Chr. bestand. - Lit.: Günther Patzig, in: RGG II 1870f. V 726f; vgl. auch: Heinrich Dörrie, Artikel Neuphythagoreer, in: RGG IV 1432f; Kurt von Fritz, in: Pauly/Wissowa XXIV 172-209; ders., Heinrich Dörrie und B[artel] L[eendert] van der Waerden, Artikel Pythagoreer, in: Pauly/Wissowa XXIV 209-300. et principe Stoicorum ZenoneNach Zenone fügen V und E2-3 Citiaeo ein.Zenon von Kition, gest. 262/I v. Chr., erster Scholarch der Stoa. - Lit.: Kurt von Fritz, in: Pauly/Wissowa, 2. Reihe, X 83-121. manasse contra Pelagianos scribens divus Hierony-musHieronymus, 340/50-420, Kirchenvater, Bibelübersetzer und - exeget. - Lit.: Ursula Treu, in: RGG III 315f. testaturHiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161)..",p18986,Sophronius Eusebius Hieronymus,"Hiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161).","Hiernoymus, Dialogus adversus Pelagianos (MPL XXIII 517-618); Epistola 82 ad Ctesiphontem, adversus Pelagium (MPL XXII 1147-1161).",TEI,,,,,
10454.xml,file10454,"Sed ut prosequamur institutum: Paululum sub Gregorii primiGregor I. der Große, Papst von 590 bis 604. - Lit.: Ulrich Wicken, in: RGG II 1837; vgl. HBBW I [Nr. 16] 108, Anm. 56. tempora, cum pax in ecclesiis vigeret et respiratio quaedam ab incommodis haereticorum data fessis videretur nec essent, qui arcanum illud trinitatis sola adoratione comprehensum tam foedis errorum maculis aspergerent, ecce derepente, ne non essent haereses, ab hoste illo veritatis alia est seminata discordia, et ab episcopisNach episcopis fügen V und E2-3 quibusdam male feriatis ein. de monarchia, exitiali videlicet humilitatis peste, cogitari coeptum.",p18489,Papst Gregor I. (der Große),,,TEI,,,,,
10454.xml,file10454,"Sed ut prosequamur institutum: Paululum sub Gregorii primiGregor I. der Große, Papst von 590 bis 604. - Lit.: Ulrich Wicken, in: RGG II 1837; vgl. HBBW I [Nr. 16] 108, Anm. 56. tempora, cum pax in ecclesiis vigeret et respiratio quaedam ab incommodis haereticorum data fessis videretur nec essent, qui arcanum illud trinitatis sola adoratione comprehensum tam foedis errorum maculis aspergerent, ecce derepente, ne non essent haereses, ab hoste illo veritatis alia est seminata discordia, et ab episcopisNach episcopis fügen V und E2-3 quibusdam male feriatis ein. de monarchia, exitiali videlicet humilitatis peste, cogitari coeptum.",p18489,Papst Gregor I. (der Große),,,TEI,,,,,
10454.xml,file10454,"In qua sententia, nisi fallor, scriptores suntNach sunt fügen E2-3 veteres ein. omnium ecclesiarum praeconiis commendati, praecipue autem Hieronymus et Augustinus, qui et lucubrationes suas non alia lege volunt recipi et probari, quam si quae docent interpretando, a canonicis illis oraculis nusquam dissentiantZu Augustins Schriftverständnis s. Schindler, aaO (Anm. 28), S. 674f; zu jenem des Hieronymus s. Lit. oben Anm. 31..",p18986,Sophronius Eusebius Hieronymus,,,TEI,,,,,
10454.xml,file10454,"In qua sententia, nisi fallor, scriptores suntNach sunt fügen E2-3 veteres ein. omnium ecclesiarum praeconiis commendati, praecipue autem Hieronymus et Augustinus, qui et lucubrationes suas non alia lege volunt recipi et probari, quam si quae docent interpretando, a canonicis illis oraculis nusquam dissentiantZu Augustins Schriftverständnis s. Schindler, aaO (Anm. 28), S. 674f; zu jenem des Hieronymus s. Lit. oben Anm. 31..",p18700,Augustinus von Hippo,,,TEI,,,,,
10454.xml,file10454,"In qua sententia, nisi fallor, scriptores suntNach sunt fügen E2-3 veteres ein. omnium ecclesiarum praeconiis commendati, praecipue autem Hieronymus et Augustinus, qui et lucubrationes suas non alia lege volunt recipi et probari, quam si quae docent interpretando, a canonicis illis oraculis nusquam dissentiantZu Augustins Schriftverständnis s. Schindler, aaO (Anm. 28), S. 674f; zu jenem des Hieronymus s. Lit. oben Anm. 31..",p18700,Augustinus von Hippo,,,TEI,,,,,
10454.xml,file10454,"In qua sententia, nisi fallor, scriptores suntNach sunt fügen E2-3 veteres ein. omnium ecclesiarum praeconiis commendati, praecipue autem Hieronymus et Augustinus, qui et lucubrationes suas non alia lege volunt recipi et probari, quam si quae docent interpretando, a canonicis illis oraculis nusquam dissentiantZu Augustins Schriftverständnis s. Schindler, aaO (Anm. 28), S. 674f; zu jenem des Hieronymus s. Lit. oben Anm. 31..",p18986,Sophronius Eusebius Hieronymus,,,TEI,,,,,
10454.xml,file10454,"Qua in re multus est Lactantius FirmianusZu Bullingers Vorliebe für Laktanz (Lucius Caecilius Firmianus Lactantius, um 250 bis nach 317), s. HBBW I 72. II 96. et eius imitator divus Augustinus.",p19001,Lucius Caecilius Firmianus Lactantius (Laktanz),,,TEI,,,,,
10454.xml,file10454,"Qua in re multus est Lactantius FirmianusZu Bullingers Vorliebe für Laktanz (Lucius Caecilius Firmianus Lactantius, um 250 bis nach 317), s. HBBW I 72. II 96. et eius imitator divus Augustinus.",p19001,Lucius Caecilius Firmianus Lactantius (Laktanz),,,TEI,,,,,
10454.xml,file10454,"Qua in re multus est Lactantius FirmianusZu Bullingers Vorliebe für Laktanz (Lucius Caecilius Firmianus Lactantius, um 250 bis nach 317), s. HBBW I 72. II 96. et eius imitator divus Augustinus.",p18700,Augustinus von Hippo,,,TEI,,,,,
11990.xml,file11990,"Interea tamen, ut vere scribis, dissidium hoc inter vos sanctum et salubre est, quod ad vos attinet, qui veritati adhaeretis, mercenariam illam militiam detestamini et Christo vos esse ad militiam in baptismate conscriptosDie Deutung der Taufe als Fahneneid zur Aufnahme in die ""militia Christi"" war spätestens seit Tertullian gängig; s. Willy Rordorf, Tertullians Beurteilung des Soldatenstandes, in: Vigiliae Christianae 23, 1969, S. 105-141, bes. 132-136. Vgl. auch HBTS III 880, 24f. agnoscitis.",p17746,Quintus Septimius Florens Tertullian,"Die Deutung der Taufe als Fahneneid zur Aufnahme in die ""militia Christi"" war spätestens seit Tertullian gängig; s. Willy Rordorf, Tertullians Beurteilung des Soldatenstandes, in: Vigiliae Christianae 23, 1969, S. 105-141, bes. 132-136. Vgl. auch HBTS III 880, 24f.","Soldatenstandes, in: Vigiliae Christianae 23, 1969,  105-141",TEI,,,,,
11990.xml,file11990,"Interea tamen, ut vere scribis, dissidium hoc inter vos sanctum et salubre est, quod ad vos attinet, qui veritati adhaeretis, mercenariam illam militiam detestamini et Christo vos esse ad militiam in baptismate conscriptosDie Deutung der Taufe als Fahneneid zur Aufnahme in die ""militia Christi"" war spätestens seit Tertullian gängig; s. Willy Rordorf, Tertullians Beurteilung des Soldatenstandes, in: Vigiliae Christianae 23, 1969, S. 105-141, bes. 132-136. Vgl. auch HBTS III 880, 24f. agnoscitis.",p17746,Quintus Septimius Florens Tertullian,"Die Deutung der Taufe als Fahneneid zur Aufnahme in die ""militia Christi"" war spätestens seit Tertullian gängig; s. Willy Rordorf, Tertullians Beurteilung des Soldatenstandes, in: Vigiliae Christianae 23, 1969, S. 105-141, bes. 132-136. Vgl. auch HBTS III 880, 24f.","Soldatenstandes, in: Vigiliae Christianae 23, 1969,  105-141",TEI,,,,,
12094.xml,file12094,"Et similia, quae adieci, satis ostendunt non sapere papismum hanc expositionem, quam et Chrysostomus dilucide posuit, etsi non „exhibendi“, „tradendi“tradendi nach gestrichenem Wortanfang trand[...]. tamen verbo ususSiehe Musculus, ""In Evangelistam Matthaeum commentarii"", Basel 1548, S. 553..",p4541,Johannes Chrysostomus,"Siehe Musculus, ""In Evangelistam Matthaeum commentarii"", Basel 1548, S. 553.","Musculus, ""In Evangelistam Matthaeum commentarii"", Basel 1548,  553.",TEI,,,,,
12080.xml,file12080,"Alioqui non meminerunt eius particulae vel Cyprianus vel Augustinus in expositione symboliRufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32)..",p18988,Cyprian,"Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).","Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).",TEI,,,,,
12080.xml,file12080,"Alioqui non meminerunt eius particulae vel Cyprianus vel Augustinus in expositione symboliRufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32)..",p18700,Augustinus von Hippo,"Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).","Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).",TEI,,,,,
12080.xml,file12080,"Alioqui non meminerunt eius particulae vel Cyprianus vel Augustinus in expositione symboliRufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32)..",p18889,Rufinus von Aquileia,"Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).","Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).",TEI,,,,,
12080.xml,file12080,"Alioqui non meminerunt eius particulae vel Cyprianus vel Augustinus in expositione symboliRufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32)..",p18988,Cyprian,"Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).","Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).",TEI,,,,,
12080.xml,file12080,"Alioqui non meminerunt eius particulae vel Cyprianus vel Augustinus in expositione symboliRufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32)..",p18700,Augustinus von Hippo,"Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).","Rufinus (nicht Cyprian), Expositio symboli (CChr-L XX 125-182); und Augustin, De fide et symbolo (CSEL XLI 1-32).",TEI,,,,,
12080.xml,file12080,"Cyprianus enim in Expositione symboli: „Non dixit“, inquit, „in sanctam ecclesiam.",p18988,Cyprian,,,TEI,,,,,
12080.xml,file12080,"Si enim addidisset ’in’ praepositionem, una eademque vis fuisset cum superioribus.“Rufinus (nicht Cyprian), Expositio symboli, 34 (CChr-L XX 169, 27-170, 6).",p18889,Rufinus von Aquileia,"Rufinus (nicht Cyprian), Expositio symboli, 34 (CChr-L XX 169, 27-170, 6).","Rufinus (nicht Cyprian), Expositio symboli, 34 (CChr-L XX 169, 27-170, 6).",TEI,,,,,
12080.xml,file12080,"Si enim addidisset ’in’ praepositionem, una eademque vis fuisset cum superioribus.“Rufinus (nicht Cyprian), Expositio symboli, 34 (CChr-L XX 169, 27-170, 6).",p18988,Cyprian,"Rufinus (nicht Cyprian), Expositio symboli, 34 (CChr-L XX 169, 27-170, 6).","Rufinus (nicht Cyprian), Expositio symboli, 34 (CChr-L XX 169, 27-170, 6).",TEI,,,,,
12080.xml,file12080,"Augustinus item de fide et symbolo legit: „Credo sanctam ecclesiam“ et non „in sanctam ecclesiam“Augustin, De fide et symbolo, 21 (X). In zahlreichen Handschriften ist die Präposition ""in"" nicht überliefert; vgl. die jeweiligen kritischen Apparate in den Ausgaben. In MPL XL 193 wurde die Präposition nicht übernommen, hingegen von CSEL XLI 27, 13, mit abgedruckt..",p18700,Augustinus von Hippo,"Augustin, De fide et symbolo, 21 (X). In zahlreichen Handschriften ist die Präposition ""in"" nicht überliefert; vgl. die jeweiligen kritischen Apparate in den Ausgaben. In MPL XL 193 wurde die Präposition nicht übernommen, hingegen von CSEL XLI 27, 13, mit abgedruckt.","Augustin, De fide et symbolo, 21 (X). In zahlreichen Handschriften ist die Präposition ""in"" nicht überliefert; vgl. die jeweiligen kritischen Apparate in den Ausgaben. In MPL XL 193 wurde die Präposition nicht übernommen",TEI,,,,,
12080.xml,file12080,"Augustinus item de fide et symbolo legit: „Credo sanctam ecclesiam“ et non „in sanctam ecclesiam“Augustin, De fide et symbolo, 21 (X). In zahlreichen Handschriften ist die Präposition ""in"" nicht überliefert; vgl. die jeweiligen kritischen Apparate in den Ausgaben. In MPL XL 193 wurde die Präposition nicht übernommen, hingegen von CSEL XLI 27, 13, mit abgedruckt..",p18700,Augustinus von Hippo,"Augustin, De fide et symbolo, 21 (X). In zahlreichen Handschriften ist die Präposition ""in"" nicht überliefert; vgl. die jeweiligen kritischen Apparate in den Ausgaben. In MPL XL 193 wurde die Präposition nicht übernommen, hingegen von CSEL XLI 27, 13, mit abgedruckt.","Augustin, De fide et symbolo, 21 (X). In zahlreichen Handschriften ist die Präposition ""in"" nicht überliefert; vgl. die jeweiligen kritischen Apparate in den Ausgaben. In MPL XL 193 wurde die Präposition nicht übernommen",TEI,,,,,
12080.xml,file12080,"Haec Paschasius, cuius liber a beato Gregorio valde approbatus estVgl. Gregor der Große, Dialogi, IV 40 (MPL LXXVII 396f); IV 42 (SChr CCLXV 150)..",p18489,Papst Gregor I. (der Große),"Vgl. Gregor der Große, Dialogi, IV 40 (MPL LXXVII 396f); IV 42 (SChr CCLXV 150).","Gregor der Große, Dialogi, IV 40 (MPL LXXVII 396f); IV 42 (SChr CCLXV 150).",TEI,,,,,
12080.xml,file12080,"Haec Paschasius, cuius liber a beato Gregorio valde approbatus estVgl. Gregor der Große, Dialogi, IV 40 (MPL LXXVII 396f); IV 42 (SChr CCLXV 150)..",p18489,Papst Gregor I. (der Große),"Vgl. Gregor der Große, Dialogi, IV 40 (MPL LXXVII 396f); IV 42 (SChr CCLXV 150).","Gregor der Große, Dialogi, IV 40 (MPL LXXVII 396f); IV 42 (SChr CCLXV 150).",TEI,,,,,
12080.xml,file12080,"Sed et Thomas Aquinas in Secunda secundae, articulo 9, quaestione 1 de fide: „Si dicitur“, ait, „’Credo in sanctam ecclesiam’, intelligendum quod fides nostra refertur ad spiritum sanctum, qui sanctificat ecclesiam, ut sit sensus, ’Credo in spiritum sanctum sanctificantem ecclesiam’.",p18357,Thomas von Aquin,,,TEI,,,,,
12080.xml,file12080,"Sed melius est et secundum communiorem usum, ut non ponatur ibi ’in’, sed simpliciter dicatur ’sanctam ecclesiam catholicam’, sicut etiam Leo papa dicit.“Thomas von Aquin, Summa theologiae, Secunda secundae, quaest. 1, art. 9, ra. 5 (S. Thomae Aquinatis opera omnia, Bd. 2, hg. v. Robert Busa, Stuttgart-Bad Cannstatt 1980, S. 526).",p18357,Thomas von Aquin,,,TEI,,,,,
12080.xml,file12080,Ista ex Aquinate sumpsimus.,p18357,Thomas von Aquin,,,TEI,,,,,
12080.xml,file12080,"De hac ecclesiae unitate egregie disserens beatus Christi martyr Cyprianus in tractatu De simplicitate prael[atorum]Titel nach den damals maßgeblichen, von Erasmus besorgten Cyprian-Editionen; s. BucerDS IX/2 334, Anm. 4. Heute ist die Schrift unter dem Titel: ""Liber de catholicae ecclesiae unitate"" bekannt (CSEL III/1 207-233; SChr D; CChr-L III 243-268).: „Ecclesia una est“, inquit, „quae in multitudinem latius incremento foecunditatis extenditur, quomodo solis multi radii, sed lumen unum, et rami arboris multi, sed robur unum tenaci radice fundatum.",p18988,Cyprian,"Titel nach den damals maßgeblichen, von Erasmus besorgten Cyprian-Editionen; s. BucerDS IX/2 334, Anm. 4. Heute ist die Schrift unter dem Titel: ""Liber de catholicae ecclesiae unitate"" bekannt (CSEL III/1 207-233; SChr D; CChr-L III 243-268).","Titel nach den damals maßgeblichen, von Erasmus besorgten Cyprian-Editionen; s. BucerDS IX/2 334, Anm. 4. Heute ist die Schrift unter dem Titel: ""Liber de catholicae ecclesiae unitate"" bekannt (CSEL I",TEI,,,,,
12080.xml,file12080,"De hac ecclesiae unitate egregie disserens beatus Christi martyr Cyprianus in tractatu De simplicitate prael[atorum]Titel nach den damals maßgeblichen, von Erasmus besorgten Cyprian-Editionen; s. BucerDS IX/2 334, Anm. 4. Heute ist die Schrift unter dem Titel: ""Liber de catholicae ecclesiae unitate"" bekannt (CSEL III/1 207-233; SChr D; CChr-L III 243-268).: „Ecclesia una est“, inquit, „quae in multitudinem latius incremento foecunditatis extenditur, quomodo solis multi radii, sed lumen unum, et rami arboris multi, sed robur unum tenaci radice fundatum.",p18988,Cyprian,"Titel nach den damals maßgeblichen, von Erasmus besorgten Cyprian-Editionen; s. BucerDS IX/2 334, Anm. 4. Heute ist die Schrift unter dem Titel: ""Liber de catholicae ecclesiae unitate"" bekannt (CSEL III/1 207-233; SChr D; CChr-L III 243-268).","Titel nach den damals maßgeblichen, von Erasmus besorgten Cyprian-Editionen; s. BucerDS IX/2 334, Anm. 4. Heute ist die Schrift unter dem Titel: ""Liber de catholicae ecclesiae unitate"" bekannt (CSEL I",TEI,,,,,
12080.xml,file12080,"Religiosissime enim sanctus Augustinus libro 7. contra Donatistas capite 51. putat malos esse in ecclesia, quod sunt paleae in tritico, zizania in segete,Vgl. Mt 3, 12; 13, 25-30. proditores inter cives et profugi inter militesVgl. Augustin, De baptismo contra Donatistas, VII 51 (MPL XLIII 241; CSEL LI 371, 7-10; Augustinus, De baptismo. Über die Taufe. Zweisprachige Ausgabe, hg. v. Hermann-Josef Sieben, Paderborn-München-Wien-Zürich 2006, S. 418f, 19-21)..",p18700,Augustinus von Hippo,"Vgl. Augustin, De baptismo contra Donatistas, VII 51 (MPL XLIII 241; CSEL LI 371, 7-10; Augustinus, De baptismo. Über die Taufe. Zweisprachige Ausgabe, hg. v. Hermann-Josef Sieben, Paderborn-München-Wien-Zürich 2006, S. 418f, 19-21).","Donatistas, VII 51 (MPL XLIII 241; CSEL LI 371, 7-10; Augustinus",TEI,,,,,
12080.xml,file12080,"Religiosissime enim sanctus Augustinus libro 7. contra Donatistas capite 51. putat malos esse in ecclesia, quod sunt paleae in tritico, zizania in segete,Vgl. Mt 3, 12; 13, 25-30. proditores inter cives et profugi inter militesVgl. Augustin, De baptismo contra Donatistas, VII 51 (MPL XLIII 241; CSEL LI 371, 7-10; Augustinus, De baptismo. Über die Taufe. Zweisprachige Ausgabe, hg. v. Hermann-Josef Sieben, Paderborn-München-Wien-Zürich 2006, S. 418f, 19-21)..",p18700,Augustinus von Hippo,"Vgl. Augustin, De baptismo contra Donatistas, VII 51 (MPL XLIII 241; CSEL LI 371, 7-10; Augustinus, De baptismo. Über die Taufe. Zweisprachige Ausgabe, hg. v. Hermann-Josef Sieben, Paderborn-München-Wien-Zürich 2006, S. 418f, 19-21).","Donatistas, VII 51 (MPL XLIII 241; CSEL LI 371, 7-10; Augustinus",TEI,,,,,
12080.xml,file12080,"Veritas canonicaDem Begriff begegnet man schon bei Augustin; vgl. z.B. In Iohannis evangelium tractatus, 96, 3 (CChr-L XXXVI 570, 24). aequat omnes per totum terrae orbem ecclesias ChristiIn der Marginalie: Aequales ecclesiae et ecclesiarum ministri..",p18700,Augustinus von Hippo,"Dem Begriff begegnet man schon bei Augustin; vgl. z.B. In Iohannis evangelium tractatus, 96, 3 (CChr-L XXXVI 570, 24).","Dem Begriff begegnet man schon bei Augustin; vgl. z.B. In Iohannis evangelium tractatus, 96, 3 (CChr-L XXXVI 570, 24).",TEI,,,,,
12080.xml,file12080,"Huc pertinere videtur illa sancti Hieronymi celebris ad EuagriumNicht Euagrios, sondern Evangelos. Es handelt sich um Hieronymus' Brief Nr. 146. sententia: „Nec altera Romanae urbis ecclesia, altera totius orbis existimanda est.",p18986,Sophronius Eusebius Hieronymus,,,TEI,,,,,
12080.xml,file12080,"Huc pertinere videtur illa sancti Hieronymi celebris ad EuagriumNicht Euagrios, sondern Evangelos. Es handelt sich um Hieronymus' Brief Nr. 146. sententia: „Nec altera Romanae urbis ecclesia, altera totius orbis existimanda est.",p18986,Sophronius Eusebius Hieronymus,,,TEI,,,,,
12080.xml,file12080,"Caeterum omnes apostolorum successores sunt.“Hieronymus, Epist. 146, 1 (MPL XXII 1194; CSEL LVI/1 310, 13-311, 3).",p18986,Sophronius Eusebius Hieronymus,"Hieronymus, Epist. 146, 1 (MPL XXII 1194; CSEL LVI/1 310, 13-311, 3).","Hieronymus, Epist. 146, 1 (MPL XXII 1194; CSEL LVI/1 310, 13-311, 3).",TEI,,,,,
12080.xml,file12080,"Et quanquam idem in eadem epistola dicat presbyteros unum aliquem ex se elegisse, quem in excelsiori gradu collocarint, in schismatis remediumHieronymus, ebd. (MPL XXII 1194; CSEL LVI/1 310, 5-7)., id tamen nihil pro ea facit sedeRom., quae a multis hodie adoratur.",p18986,Sophronius Eusebius Hieronymus,"Hieronymus, ebd. (MPL XXII 1194; CSEL LVI/1 310, 5-7).","Hieronymus, ebd. (MPL XXII 1194; CSEL LVI/1 310, 5-7).",TEI,,,,,
